hex,voltage
00,-+00-+
01,0-+-+0
02,0-+0-+
03,0-++0-
04,-+0+0-
05,+0--+0
06,+0-0-+
07,+0-+0-
08,-+00+-
09,0-++-0
0A,0-+0+-
0B,0-+-0+
0C,-+0-0+
0D,+0-+-0
0E,+0-0+-
0F,+0--0+
10,0--+0+
11,-0-0++
12,-0-+0+
13,-0-++0
14,0--++0
15,--00++
16,--0+0+
17,--0++0
18,-+0-+0
19,+-0-+0
1A,-++-+0
1B,+00-+0
1C,+00+-0
1D,-+++-0
1E,+-0+-0
1F,-+0+-0
20,-++-00
21,+00+--
22,-+0-++
23,+-0-++
24,+-0+00
25,-+0+00
26,+00-00
27,-+++--
28,0++-0-
29,+0+0--
2A,+0+-0-
2B,+0+--0
2C,0++--0
2D,++00--
2E,++0-0-
2F,++0--0
30,+-00-+
31,0+--+0
32,0+-0-+
33,0+-+0-
34,+-0+0-
35,-0+-+0
36,-0+0-+
37,-0++0-
38,+-00+-
39,0+-+-0
3A,0+-0+-
3B,0+--0+
3C,+-0-0+
3D,-0++-0
3E,-0+0+-
3F,-0+-0+
40,-00+0+
41,0-00++
42,0-0+0+
43,0-0++0
44,-00++0
45,00-0++
46,00-+0+
47,00-++0
48,00+000
49,++-000
4A,+-+000
4B,-++000
4C,0+-000
4D,+0-000
4E,0-+000
4F,-0+000
50,+--+0+
51,-+-0++
52,-+-+0+
53,-+-++0
54,+--++0
55,--+0++
56,--++0+
57,--+++0
58,--0+++
59,-0-+++
5A,0--+++
5B,0--0++
5C,+--0++
5D,-000++
5E,0+++--
5F,0++-00
60,0++0-0
61,+0+-00
62,+0+0-0
63,+0+00-
64,0++00-
65,++0-00
66,++00-0
67,++000-
68,0++-+-
69,+0++--
6A,+0+-+-
6B,+0+--+
6C,0++--+
6D,++0+--
6E,++0-+-
6F,++0--+
70,000++-
71,000+-+
72,000-++
73,000+00
74,000+0-
75,000+-0
76,000-0+
77,000-+0
78,+++--0
79,+++-0-
7A,+++0--
7B,0++0--
7C,-00-++
7D,-00+00
7E,+---++
7F,+--+00
80,-00+-+
81,0-0-++
82,0-0+-+
83,0-0++-
84,-00++-
85,00--++
86,00-+-+
87,00-++-
88,-000+0
89,0-0+00
8A,0-00+0
8B,0-000+
8C,-0000+
8D,00-+00
8E,00-0+0
8F,00-00+
90,+--+-+
91,-+--++
92,-+-+-+
93,-+-++-
94,+--++-
95,--+-++
96,--++-+
97,--+++-
98,+--0+0
99,-+-+00
9A,-+-0+0
9B,-+-00+
9C,+--00+
9D,--++00
9E,--+0+0
9F,--+00+
A0,-++0-0
A1,+-+-00
A2,+-+0-0
A3,+-+00-
A4,-++00-
A5,++--00
A6,++-0-0
A7,++-00-
A8,-++-+-
A9,+-++--
AA,+-+-+-
AB,+-+--+
AC,-++--+
AD,++-+--
AE,++--+-
AF,++---+
B0,+000-0
B1,0+0-00
B2,0+00-0
B3,0+000-
B4,+0000-
B5,00+-00
B6,00+0-0
B7,00+00-
B8,+00-+-
B9,0+0+--
BA,0+0-+-
BB,0+0--+
BC,+00--+
BD,00++--
BE,00+-+-
BF,00+--+
C0,-+0+-+
C1,0-+-++
C2,0-++-+
C3,0-+++-
C4,-+0++-
C5,+0--++
C6,+0-+-+
C7,+0-++-
C8,-+00+0
C9,0-++00
CA,0-+0+0
CB,0-+00+
CC,-+000+
CD,+0-+00
CE,+0-0+0
CF,+0-00+
D0,+-0+-+
D1,0+--++
D2,0+-+-+
D3,0+-++-
D4,+-0++-
D5,-0+-++
D6,-0++-+
D7,-0+++-
D8,+-00+0
D9,0+-+00
DA,0+-0+0
DB,0+-00+
DC,+-000+
DD,-0++00
DE,-0+0+0
DF,-0+00+
E0,-++0-+
E1,+-++0
E2,+-+0-+
E3,+-++0-
E4,-+++0-
E5,++--+0
E6,++-0-+
E7,++-+0-
E8,-++0+-
E9,+-++-0
EA,+-+0+-
EB,+-+-0+
EC,-++-0+
ED,++-+-0
EE,++-0+-
EF,++--0+
F0,+000-+
F1,0+0-+0
F2,0+00-+
F3,0+0+0-
F4,+00+0-
F5,00+-+0
F6,00+0-+
F7,00++0-
F8,+000+-
F9,0+0+-0
FA,0+00+-
FB,0+0-0+
FC,+00-0+
FD,00++-0
FE,00+0+-
FF,00+-0+